scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,duration,aantalTussenstops,availableSeats,flightNumber,carrierCode,carrierName,departureDate,departureTime,arrivalDate,arrivalTime,totalPrice,taxIncludedInPrice
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,08:20,1,6,SN4545,SN,BRUSSELS AIRLINES,2023-06-07,06:55:00+02:00,2023-06-07,16:15:00+03:00,302.38,113.38
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,9,SN5589,SN,BRUSSELS AIRLINES,2023-06-08,19:15:00+02:00,2023-06-09,08:35:00+03:00,177.88,92.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:35,2,1,SN5631,SN,BRUSSELS AIRLINES,2023-06-08,19:00:00+02:00,2023-06-09,08:35:00+03:00,207.32,122.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,02:45,0,9,SN3259,SN,BRUSSELS AIRLINES,2023-06-08,12:00:00+02:00,2023-06-08,15:45:00+03:00,226.14,67.14
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,9,SN5589,SN,BRUSSELS AIRLINES,2023-06-10,19:15:00+02:00,2023-06-11,08:35:00+03:00,333.88,144.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,05:40,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-06-10,06:55:00+02:00,2023-06-10,13:35:00+03:00,378.58,143.58
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,9,SN5589,SN,BRUSSELS AIRLINES,2023-06-10,19:15:00+02:00,2023-06-11,14:35:00+03:00,557.32,218.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,02:45,0,9,SN3259,SN,BRUSSELS AIRLINES,2023-06-11,07:00:00+02:00,2023-06-11,10:45:00+03:00,226.14,67.14
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:40,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-06-11,06:55:00+02:00,2023-06-11,14:35:00+03:00,482.58,143.58
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:35,2,6,SN5587,SN,BRUSSELS AIRLINES,2023-06-11,07:00:00+02:00,2023-06-11,14:35:00+03:00,551.11,212.11
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,9,SN5589,SN,BRUSSELS AIRLINES,2023-06-12,19:15:00+02:00,2023-06-13,08:35:00+03:00,147.88,84.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:35,2,9,SN5631,SN,BRUSSELS AIRLINES,2023-06-12,19:00:00+02:00,2023-06-13,08:35:00+03:00,173.32,110.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:55,1,9,SN4545,SN,BRUSSELS AIRLINES,2023-06-12,06:55:00+02:00,2023-06-12,14:50:00+03:00,302.38,113.38
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,05:40,1,9,SN8172,SN,BRUSSELS AIRLINES,2023-06-13,06:50:00+02:00,2023-06-13,13:30:00+03:00,277.38,118.38
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,9,SN5589,SN,BRUSSELS AIRLINES,2023-06-14,19:15:00+02:00,2023-06-15,08:35:00+03:00,147.88,84.88
